Number of nodes: 43
Number of edges: 659
Number of CESs: 456
Number of events: 4427
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
2	access as a teacher, turn editing on, select the deletable class, delete class, confirm deletion, select the deletable class
8	access as a teacher, turn editing on, add new class, enter the name of the class, enter the class detail, enter the name of the class
3	access as a teacher, turn editing on, add new class, enter the name of the class, enter the class detail, submit the class
9	access as a teacher, turn editing on, add new class, enter the name of the class, enter the class detail, enter the class detail
9	access as a teacher, turn editing on, add new class, enter the name of the class, enter the name of the class, enter the class detail
2	access as a teacher, turn editing on, add new class, enter the name of the class, enter the name of the class, submit the class
8	access as a teacher, turn editing on, add new class, enter the name of the class, enter the name of the class, enter the name of the class
9	access as a teacher, turn editing on, add new class, enter the class detail, enter the name of the class, enter the class detail
2	access as a teacher, turn editing on, add new class, enter the class detail, enter the name of the class, submit the class
8	access as a teacher, turn editing on, add new class, enter the class detail, enter the name of the class, enter the name of the class
8	access as a teacher, turn editing on, add new class, enter the class detail, enter the class detail, enter the name of the class
3	access as a teacher, turn editing on, add new class, enter the class detail, enter the class detail, submit the class
8	access as a teacher, turn editing on, add new class, enter the class detail, enter the class detail, enter the class detail
12	access as a teacher, turn editing on, select the editable class, update the name of the class, update the class detail, update the name of the class
11	access as a teacher, turn editing on, select the editable class, update the name of the class, update the class detail, update the class detail
2	access as a teacher, turn editing on, select the editable class, update the name of the class, update the class detail, submit the class
11	access as a teacher, turn editing on, select the editable class, update the name of the class, update the name of the class, update the class detail
11	access as a teacher, turn editing on, select the editable class, update the name of the class, update the name of the class, update the name of the class
3	access as a teacher, turn editing on, select the editable class, update the name of the class, update the name of the class, submit the class
11	access as a teacher, turn editing on, select the editable class, update the class detail, update the name of the class, update the class detail
12	access as a teacher, turn editing on, select the editable class, update the class detail, update the name of the class, update the name of the class
3	access as a teacher, turn editing on, select the editable class, update the class detail, update the name of the class, submit the class
12	access as a teacher, turn editing on, select the editable class, update the class detail, update the class detail, update the name of the class
11	access as a teacher, turn editing on, select the editable class, update the class detail, update the class detail, update the class detail
2	access as a teacher, turn editing on, select the editable class, update the class detail, update the class detail, submit the class
17	access as a teacher, turn editing on, select the editable class, assign schedule, select the editable schedule, update the days of the class
16	access as a teacher, turn editing on, select the editable class, assign schedule, select the editable schedule, update the hours of the class
16	access as a teacher, turn editing on, select the editable class, assign schedule, add new schedule, enter the days of the class
17	access as a teacher, turn editing on, select the editable class, assign schedule, add new schedule, enter the hours of the class
8	access as a teacher, turn editing on, add new schedule, enter the days of the class, enter the hours of the class, enter the days of the class
3	access as a teacher, turn editing on, add new schedule, enter the days of the class, enter the hours of the class, submit the class schedule
8	access as a teacher, turn editing on, add new schedule, enter the days of the class, enter the hours of the class, enter the hours of the class
8	access as a teacher, turn editing on, add new schedule, enter the days of the class, enter the days of the class, enter the hours of the class
3	access as a teacher, turn editing on, add new schedule, enter the days of the class, enter the days of the class, submit the class schedule
8	access as a teacher, turn editing on, add new schedule, enter the days of the class, enter the days of the class, enter the days of the class
8	access as a teacher, turn editing on, add new schedule, enter the hours of the class, enter the days of the class, enter the hours of the class
3	access as a teacher, turn editing on, add new schedule, enter the hours of the class, enter the days of the class, submit the class schedule
8	access as a teacher, turn editing on, add new schedule, enter the hours of the class, enter the days of the class, enter the days of the class
8	access as a teacher, turn editing on, add new schedule, enter the hours of the class, enter the hours of the class, enter the days of the class
3	access as a teacher, turn editing on, add new schedule, enter the hours of the class, enter the hours of the class, submit the class schedule
8	access as a teacher, turn editing on, add new schedule, enter the hours of the class, enter the hours of the class, enter the hours of the class
8	access as a teacher, turn editing on, select the editable schedule, update the days of the class, update the days of the class, update the days of the class
3	access as a teacher, turn editing on, select the editable schedule, update the days of the class, update the days of the class, submit the class schedule
8	access as a teacher, turn editing on, select the editable schedule, update the hours of the class, update the hours of the class, update the hours of the class
