Number of nodes: 15
Number of edges: 28
Number of CESs: 18
Number of events: 196
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	get balance, select deposit, enter deposit amount
9	select deposit, enter deposit amount, put money
5	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
4	put money, get balance, select withdraw
7	get balance, select withdraw, enter withdraw amount
2	get balance, select withdraw, cancel withdraw
8	select withdraw, enter withdraw amount, take money
5	select withdraw, enter withdraw amount, confirm daily limit excess
7	enter withdraw amount, take money, get balance
3	take money, get balance, select deposit
4	take money, get balance, select withdraw
1	enter withdraw amount, confirm daily limit excess, cancel withdraw
7	enter withdraw amount, confirm daily limit excess, enter withdraw amount
3	confirm daily limit excess, enter withdraw amount, take money
5	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
3	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
