Number of nodes: 18
Number of edges: 33
Number of CESs: 11
Number of events: 36
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
1	get balance, select deposit
2	select deposit, enter deposit amount
2	enter deposit amount, put money
1	put money, get balance
1	get balance, select withdraw
4	select withdraw, enter withdraw amount
2	enter withdraw amount, take money
1	take money, get balance
1	enter a credit amount, confirm credit approved
1	enter a credit amount, confirm credit disapproved
1	request an interest rate, confirm interest rate approved
1	request an interest rate, confirm interest rate disapproved
1	select withdraw, cancel withdraw
3	enter withdraw amount, confirm daily limit excess
1	confirm daily limit excess, cancel withdraw
1	confirm daily limit excess, enter withdraw amount
1	enter daily withdraw limit, enter daily withdraw limit
0	Number of uncovered edges 
