Number of nodes: 20
Number of edges: 36
Number of CESs: 18
Number of events: 91
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount
11	select deposit, enter deposit amount, put money
7	enter deposit amount, put money, get balance
1	put money, get balance, select deposit
6	put money, get balance, select withdraw
6	get balance, select withdraw, enter withdraw amount
1	get balance, select withdraw, cancel withdraw
5	select withdraw, enter withdraw amount, take money
3	select withdraw, enter withdraw amount, confirm daily limit excess
2	enter withdraw amount, take money, get balance
1	take money, get balance, select deposit
1	take money, get balance, select withdraw
1	request an interest rate, confirm interest rate approved, enter days left
2	enter withdraw amount, confirm daily limit excess, cancel withdraw
2	enter withdraw amount, confirm daily limit excess, enter withdraw amount
1	confirm daily limit excess, enter withdraw amount, take money
1	confirm daily limit excess, enter withdraw amount, confirm daily limit excess
1	enter daily withdraw limit, enter daily withdraw limit, enter daily withdraw limit
1	confirm interest rate approved, enter days left, get estimated interest for days left
0	Number of uncovered edges 
