Number of nodes: 14
Number of edges: 23
Number of CESs: 15
Number of events: 74
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
3	get balance, select deposit, enter deposit amount, put money
5	select deposit, enter deposit amount, put money, get balance
2	enter deposit amount, put money, get balance, select deposit
3	enter deposit amount, put money, get balance, select withdraw
1	put money, get balance, select deposit, enter deposit amount
1	put money, get balance, select deposit, cancel deposit
2	put money, get balance, select withdraw, enter withdraw amount
1	put money, get balance, select withdraw, cancel withdraw
3	get balance, select withdraw, enter withdraw amount, take money
4	select withdraw, enter withdraw amount, take money, get balance
2	enter withdraw amount, take money, get balance, select deposit
2	enter withdraw amount, take money, get balance, select withdraw
1	take money, get balance, select deposit, enter deposit amount
1	take money, get balance, select deposit, cancel deposit
1	take money, get balance, select withdraw, enter withdraw amount
1	take money, get balance, select withdraw, cancel withdraw
0	Number of uncovered edges 
