Number of nodes: 15
Number of edges: 314
Number of CESs: 211
Number of events: 1562
Number of uncovered edges: 0
Coverage: 100.0
Number of coverage	Edge
4	enter email subject, enter email body, enter email subject, enter receiver's email address, enter receiver's email address
1	enter email subject, enter email body, enter email subject, enter receiver's email address, get alias email addresses of receiver
2	enter email subject, enter email body, enter email subject, enter receiver's email address, get receiver's public key
1	enter email subject, enter email body, enter email subject, enter email subject, enter email body
4	enter email subject, enter email body, enter email subject, enter email subject, enter receiver's email address
1	enter email subject, enter email body, enter email subject, enter email subject, enter email subject
2	compose new email, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	compose new email, enter receiver's email address, enter email subject, enter email body, enter email body
1	compose new email, enter receiver's email address, enter email subject, enter email body, enter email subject
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
3	compose new email, enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
2	compose new email, enter receiver's email address, enter email subject, enter email subject, enter email body
1	compose new email, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
1	compose new email, enter receiver's email address, enter email subject, enter email subject, enter email subject
2	compose new email, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
1	compose new email, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
3	compose new email, enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
2	compose new email, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
2	compose new email, enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
3	compose new email, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
6	enter receiver's email address, enter receiver's email address, enter email subject, enter email body, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body, enter email body
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email body, enter email subject
1	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, enter email subject
3	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, send email
1	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, get alias email addresses of receiver
2	enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address, get receiver's public key
2	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject, enter email body
2	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter email subject, enter email subject, enter email subject
2	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject, enter email body
2	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject, enter email subject
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter email subject
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, send email
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
2	enter receiver's email address, enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key
4	enter receiver's email address, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver, send email
3	enter receiver's email address, enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key
10	enter receiver's email address, enter receiver's email address, get receiver's public key, encrypt mail with receiver's public key, send email
16	compose new email, enter email subject, enter email body, enter receiver's email address, enter email subject
2	compose new email, enter email subject, enter email body, enter receiver's email address, send email
17	compose new email, enter email subject, enter email body, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter email body, enter receiver's email address, get alias email addresses of receiver
5	compose new email, enter email subject, enter email body, enter receiver's email address, get receiver's public key
8	compose new email, enter email subject, enter email body, enter email body, enter receiver's email address
3	compose new email, enter email subject, enter email body, enter email body, enter email body
3	compose new email, enter email subject, enter email body, enter email body, enter email subject
3	compose new email, enter email subject, enter email body, enter email subject, enter email body
7	compose new email, enter email subject, enter email body, enter email subject, enter receiver's email address
3	compose new email, enter email subject, enter email body, enter email subject, enter email subject
3	compose new email, enter email subject, enter receiver's email address, enter email subject, enter email body
3	compose new email, enter email subject, enter receiver's email address, enter email subject, enter receiver's email address
2	compose new email, enter email subject, enter receiver's email address, enter email subject, enter email subject
2	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, enter email subject
2	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, send email
3	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, enter receiver's email address
1	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, get alias email addresses of receiver
4	compose new email, enter email subject, enter receiver's email address, enter receiver's email address, get receiver's public key
2	compose new email, enter email subject, enter receiver's email address, get alias email addresses of receiver, send email
